issn_l,cr_year,article_total,upw_hybrid_total,cr_hybrid_total,cat
0030-4026,2017,1435,4,4,Global
0255-5476,2021,1433,3,4,Global
0928-4931,2017,1431,7,7,Global
0013-9351,2021,1429,147,149,Global
1380-7501,2021,1429,88,82,Global
0029-7844,2018,1427,0,0,Global
0022-1694,2021,1419,98,100,Global
0161-8105,2018,1419,32,20,Global
1049-2275,2020,1416,19,0,Global
0021-9541,2019,1413,62,62,Global
0094-8276,2017,1413,222,213,Global
1070-664X,2017,1411,54,7,Global
0304-8853,2017,1406,40,11,Global
0304-8853,2020,1406,34,32,Global
1359-4311,2020,1405,33,33,Global
0340-1812,2021,1404,0,0,Global
0741-5214,2017,1404,12,12,Global
1861-194X,2017,1401,0,0,Global
1938-5862,2017,1400,0,0,Global
0022-5223,2019,1400,13,11,Global
1520-5207,2021,1398,174,187,Global
0921-5093,2020,1396,31,31,Global
1861-194X,2018,1393,0,0,Global
0165-0327,2021,1393,193,195,Global
1530-6984,2021,1393,177,186,Global
1068-9265,2021,1392,148,148,Global
1477-0520,2017,1388,125,37,Global
1936-0851,2018,1388,99,0,Global
1936-0851,2017,1382,145,0,Global
0921-5093,2018,1381,8,8,Global
1064-1246,2020,1380,2,4,Global
0340-1812,2019,1378,0,0,Global
0028-3878,2019,1375,132,0,Global
0144-8617,2017,1374,38,13,Global
1388-2457,2017,1373,14,14,Global
0885-8993,2021,1371,5,30,Global
2168-0485,2017,1371,57,0,Global
1877-0657,2018,1369,2,2,Global
0044-8486,2021,1368,95,98,Global
0007-0610,2020,1363,9,5,Global
0378-7753,2020,1363,42,43,Global
0042-4900,2020,1361,68,45,Global
0929-6212,2021,1359,33,31,Global
1520-5207,2017,1359,82,0,Global
0021-8995,2017,1359,7,5,Global
2155-5435,2020,1356,152,18,Global
1359-4311,2021,1355,69,70,Global
1613-6810,2019,1355,56,58,Global
1070-664X,2018,1351,40,1,Global
0165-0327,2020,1350,119,119,Global
1613-6810,2020,1348,119,120,Global
0007-0963,2019,1346,134,130,Global
0016-2361,2017,1341,47,26,Global
1477-0520,2019,1340,84,84,Global
1464-780X,2017,1339,1,1,Global
0021-9150,2018,1336,44,44,Global
0887-0624,2019,1335,29,0,Global
0378-7753,2021,1334,85,85,Global
1743-6095,2017,1333,12,12,Global
1380-7501,2019,1332,41,40,Global
0022-5347,2019,1332,0,0,Global
2155-5435,2018,1329,84,0,Global
0378-7753,2017,1327,42,38,Global
0925-2312,2018,1323,13,13,Global
0340-1812,2020,1323,0,0,Global
0141-0296,2019,1320,29,29,Global
0022-1120,2021,1316,419,474,Global
0957-4484,2021,1314,28,77,Global
0021-8995,2019,1312,25,24,Global
0021-4922,2018,1312,32,32,Global
0927-7757,2020,1309,18,18,Global
0020-0255,2021,1309,54,54,Global
0887-0624,2018,1307,18,0,Global
2574-0962,2020,1306,99,7,Global
2053-2733,2019,1305,28,28,Global
0024-3205,2020,1301,78,52,Global
0022-2461,2018,1300,62,61,Global
2352-152X,2021,1299,57,58,Global
2352-4928,2021,1298,50,49,Global
0022-2461,2020,1298,88,88,Global
2190-5444,2021,1298,149,150,Global
0144-8617,2018,1297,39,15,Global
1520-5207,2018,1293,56,0,Global
1948-7185,2019,1289,107,0,Global
0254-0584,2021,1287,14,14,Global
0263-8223,2018,1286,12,12,Global
1477-0520,2018,1285,77,77,Global
0024-3205,2021,1285,43,43,Global
0263-8223,2019,1284,20,21,Global
1386-1425,2020,1283,13,14,Global
1866-7511,2020,1282,20,19,Global
0957-4484,2018,1281,39,38,Global
1046-1310,2021,1281,234,233,Global
1120-1797,2018,1278,18,18,Global
0008-6223,2021,1278,75,77,Global
0263-6352,2019,1278,26,0,Global
0028-3878,2021,1277,120,0,Global
0034-6748,2018,1277,58,2,Global
0021-9150,2017,1277,39,39,Global
0039-9140,2021,1276,77,79,Global
