issn_l,cr_year,article_total,upw_hybrid_total,cr_hybrid_total,cat
0196-8858,2018,2,0,0,Germany
0889-8529,2019,1,0,0,Germany
0963-7486,2020,2,0,0,Germany
1042-4431,2020,1,0,0,Germany
1049-2275,2020,8,0,0,Germany
1064-5624,2019,1,0,0,Germany
1359-432X,2018,7,0,0,Germany
1369-1465,2019,5,0,0,Germany
1476-4954,2017,5,0,0,Germany
1477-7622,2018,1,0,0,Germany
1529-9732,2021,1,0,0,Germany
1570-1794,2018,3,0,0,Germany
1741-0541,2021,1,0,0,Germany
1753-8157,2017,1,0,0,Germany
1864-7022,2017,1,0,0,Germany
1944-8201,2017,3,0,0,Germany
2211-6834,2019,2,0,0,Germany
2213-5383,2018,1,0,0,Germany
2452-2198,2020,3,0,0,Germany
0304-3843,2017,16,0,0,Germany
0887-3631,2018,1,0,0,Germany
0891-6934,2020,2,0,0,Germany
1286-0042,2021,5,0,0,Germany
1381-1991,2017,1,0,0,Germany
1529-3785,2020,6,0,0,Germany
1557-1912,2017,1,0,0,Germany
2156-7697,2020,4,0,0,Germany
2213-2198,2017,5,0,0,Germany
2471-2566,2020,1,0,0,Germany
0003-3022,2018,9,0,0,Germany
0019-3577,2020,3,0,0,Germany
0026-2692,2021,2,0,0,Germany
0146-0005,2021,1,0,0,Germany
0192-4788,2020,1,0,0,Germany
0260-437X,2021,1,0,0,Germany
0303-4259,2020,68,0,0,Germany
0941-9500,2017,5,0,0,Germany
0948-423X,2018,6,0,0,Germany
1070-5325,2019,2,0,0,Germany
1073-0508,2019,3,0,0,Germany
1556-9527,2019,1,0,0,Germany
2730-5406,2021,1,0,0,Germany
0017-8160,2020,1,0,0,Germany
0018-9251,2018,2,0,0,Germany
0308-1087,2018,2,0,0,Germany
0908-665X,2018,10,0,0,Germany
0954-4119,2019,5,0,0,Germany
0963-0643,2021,10,0,0,Germany
1066-8527,2018,1,0,0,Germany
1474-7758,2018,1,0,0,Germany
2589-2517,2021,1,0,0,Germany
0004-5632,2018,1,0,0,Germany
0165-9227,2018,5,0,0,Germany
0167-7063,2017,1,0,0,Germany
0927-5398,2020,3,0,0,Germany
0936-2800,2021,13,0,0,Germany
0954-4070,2019,8,0,0,Germany
1030-4312,2018,1,0,0,Germany
1468-2745,2021,2,0,0,Germany
1530-6984,2020,73,20,0,Germany
1553-118X,2017,7,0,0,Germany
1873-9601,2017,2,0,0,Germany
2150-4857,2020,1,0,0,Germany
2365-659X,2018,4,0,0,Germany
0042-6032,2018,5,0,0,Germany
0093-3813,2021,7,0,0,Germany
0146-6410,2018,2,0,0,Germany
0179-0358,2019,3,0,0,Germany
0391-5603,2017,1,1,0,Germany
0393-5965,2019,1,0,0,Germany
0734-371X,2018,1,0,0,Germany
0930-777X,2019,6,0,0,Germany
0953-816X,2017,17,0,0,Germany
0963-9268,2020,1,0,0,Germany
1071-5819,2019,10,0,0,Germany
1388-3127,2019,4,0,0,Germany
2169-3293,2017,1,0,0,Germany
0037-9271,2019,1,0,0,Germany
0742-6046,2017,9,0,0,Germany
0885-2308,2018,5,0,0,Germany
1049-3301,2018,1,0,0,Germany
1446-9235,2021,1,0,0,Germany
1743-7199,2018,1,0,0,Germany
0020-7187,2019,2,0,0,Germany
0021-7824,2020,6,0,0,Germany
0022-3042,2017,24,0,0,Germany
1438-7026,2018,2,0,0,Germany
1479-4713,2021,3,0,0,Germany
2452-2627,2018,1,0,0,Germany
0047-2778,2020,6,0,0,Germany
0164-0291,2017,3,0,0,Germany
0257-0130,2019,1,0,0,Germany
1090-8811,2019,1,0,0,Germany
1367-5788,2019,2,0,0,Germany
1476-7333,2020,1,0,0,Germany
1559-5692,2018,1,0,0,Germany
1617-4933,2018,63,0,0,Germany
1874-4710,2019,1,0,0,Germany
0001-6268,2018,43,0,0,Germany
0003-9160,2021,7,0,0,Germany
0036-021X,2020,1,0,0,Germany
0272-5231,2020,2,0,0,Germany
0304-3878,2019,2,0,0,Germany
0309-1929,2021,2,0,0,Germany
1083-7515,2020,3,0,0,Germany
1353-1042,2020,1,0,0,Germany
1562-7020,2020,1,0,0,Germany
1590-8658,2017,9,0,0,Germany
1755-098X,2018,11,0,0,Germany
1862-5282,2017,12,0,0,Germany
2637-6113,2020,20,4,0,Germany
0002-3752,2021,1,0,0,Germany
0031-3998,2018,5,0,0,Germany
0034-4338,2017,1,0,0,Germany
0162-0134,2019,6,0,0,Germany
0197-0186,2019,3,0,0,Germany
0892-7790,2017,10,0,0,Germany
1477-7266,2021,3,1,0,Germany
1748-0272,2020,4,0,0,Germany
0013-1881,2018,1,0,0,Germany
0147-5185,2020,4,0,0,Germany
0209-9683,2019,4,0,0,Germany
0731-5724,2018,1,0,0,Germany
0894-8453,2020,1,0,0,Germany
0895-9420,2019,1,0,0,Germany
0925-7535,2018,6,0,0,Germany
0966-842X,2018,13,0,0,Germany
1067-3229,2019,1,0,0,Germany
1430-9017,2019,1,0,0,Germany
1476-8186,2018,3,0,0,Germany
1063-8512,2021,1,0,0,Germany
1077-4114,2017,2,0,0,Germany
1078-0998,2017,11,0,0,Germany
1380-7854,2017,1,0,0,Germany
1445-5226,2018,4,0,0,Germany
1570-8705,2021,3,0,0,Germany
1742-7355,2017,1,0,0,Germany
1747-1117,2017,1,0,0,Germany
2168-023X,2019,1,0,0,Germany
0010-0285,2018,1,0,0,Germany
0178-2789,2019,5,0,0,Germany
0734-0168,2018,1,0,0,Germany
1523-3804,2019,2,0,0,Germany
1547-0091,2019,14,0,0,Germany
2372-9333,2018,1,0,0,Germany
2522-0691,2018,1,0,0,Germany
2633-3767,2021,1,0,0,Germany
0260-6917,2017,3,0,0,Germany
0271-9142,2018,5,0,0,Germany
0309-8265,2020,2,0,0,Germany
0342-0477,2019,25,0,0,Germany
0720-4299,2020,35,0,0,Germany
0954-1985,2017,3,0,0,Germany
1471-5953,2021,1,0,0,Germany
1526-5943,2019,1,0,0,Germany
1744-9480,2020,3,0,0,Germany
1756-1841,2019,2,0,0,Germany
1944-0057,2019,5,0,0,Germany
2055-7671,2018,4,0,0,Germany
0022-0981,2020,3,0,0,Germany
0031-0182,2017,46,0,0,Germany
0049-4747,2019,2,0,0,Germany
0256-307X,2020,1,0,0,Germany
0944-5846,2021,48,0,0,Germany
1362-4393,2019,5,0,0,Germany
1544-4759,2019,1,0,0,Germany
1557-251X,2020,6,0,0,Germany
1743-923X,2019,3,0,0,Germany
1464-9357,2017,3,0,0,Germany
1472-8222,2020,4,0,0,Germany
1949-3045,2020,2,0,0,Germany
2379-8920,2017,2,0,0,Germany
2673-1665,2018,3,0,0,Germany
0042-0980,2017,6,0,0,Germany
0076-3519,2020,3,0,0,Germany
0140-7791,2018,29,0,0,Germany
0892-6875,2018,16,0,0,Germany
0963-8199,2019,1,0,0,Germany
1040-8746,2019,3,0,0,Germany
1527-7941,2018,2,0,0,Germany
1540-7993,2019,1,0,0,Germany
2048-8726,2017,7,0,0,Germany
2509-9515,2018,1,0,0,Germany
0006-8314,2017,11,0,0,Germany
0033-8362,2018,3,0,0,Germany
0034-4087,2021,1,0,0,Germany
0724-4983,2017,29,0,0,Germany
0952-8180,2020,1,0,0,Germany
0957-5820,2020,12,0,0,Germany
0960-3085,2020,4,0,0,Germany
1234-1983,2017,2,0,0,Germany
1369-4154,2017,1,0,0,Germany
1440-7833,2021,1,0,0,Germany
1524-1904,2017,3,0,0,Germany
1528-3577,2018,1,0,0,Germany
1572-3089,2019,6,0,0,Germany
2393-9575,2018,2,0,0,Germany
0049-8254,2017,1,0,0,Germany
0169-5983,2019,2,0,0,Germany
0210-3702,2018,1,0,0,Germany
0885-3134,2018,1,0,0,Germany
0950-3846,2021,1,0,0,Germany
1362-3699,2020,1,0,0,Germany
1388-199X,2017,3,0,0,Germany
1424-1250,2019,1,0,0,Germany
1559-7431,2017,2,0,0,Germany
1957-2557,2020,2,0,0,Germany
0929-0273,2018,1,0,0,Germany
1088-937X,2019,1,0,0,Germany
1093-9687,2019,1,0,0,Germany
1362-1017,2019,1,0,0,Germany
1757-9597,2018,2,0,0,Germany
1935-1682,2017,3,0,0,Germany
2363-5037,2019,1,0,0,Germany
2367-2587,2019,4,0,0,Germany
2523-8965,2020,1,0,0,Germany
0016-7568,2017,3,0,0,Germany
0021-8693,2018,24,0,0,Germany
0307-6938,2018,10,0,0,Germany
1089-9995,2017,1,0,0,Germany
1472-3891,2019,1,0,0,Germany
1743-873X,2019,2,0,0,Germany
1863-9690,2017,14,0,0,Germany
1868-4483,2017,2,0,0,Germany
1947-2498,2017,3,0,0,Germany
0022-3344,2018,1,0,0,Germany
0030-3992,2019,6,0,0,Germany
0105-2896,2019,4,1,0,Germany
0145-7632,2019,5,0,0,Germany
0278-6826,2017,4,0,0,Germany
0284-1851,2019,23,1,0,Germany
0305-0068,2020,1,0,0,Germany
0334-1763,2020,2,0,0,Germany
0965-1748,2021,1,0,0,Germany
1226-086X,2018,1,0,0,Germany
1878-7452,2018,2,0,0,Germany
2163-0402,2021,3,0,0,Germany
0003-4800,2018,1,0,0,Germany
0927-3972,2018,2,0,0,Germany
1262-3636,2018,5,0,0,Germany
0026-749X,2018,1,0,0,Germany
0040-5779,2017,2,0,0,Germany
0141-9382,2019,3,0,0,Germany
0269-9370,2018,6,0,0,Germany
0891-4222,2018,7,0,0,Germany
0921-4771,2021,2,0,0,Germany
1022-9760,2020,3,0,0,Germany
1058-2916,2018,8,0,0,Germany
1523-0864,2021,11,3,0,Germany
1535-5314,2019,1,0,0,Germany
1542-0485,2021,1,0,0,Germany
1567-715X,2020,2,0,0,Germany
1673-5447,2018,1,0,0,Germany
1745-9737,2021,1,0,0,Germany
1931-7557,2019,11,0,0,Germany
0031-8094,2019,5,0,0,Germany
0037-6779,2020,7,0,0,Germany
0165-7836,2017,4,0,0,Germany
0884-8971,2018,1,0,0,Germany
1538-8506,2021,4,0,0,Germany
1545-8547,2017,2,0,0,Germany
1615-147X,2019,7,0,0,Germany
1750-399X,2021,2,0,0,Germany
2053-1702,2021,1,0,0,Germany
2375-0472,2017,1,0,0,Germany
2405-8505,2021,3,0,0,Germany
2567-1111,2020,1,0,0,Germany
0021-9266,2018,5,0,0,Germany
0140-1971,2021,3,0,0,Germany
0163-5581,2017,4,0,0,Germany
0376-0421,2017,3,0,0,Germany
0939-4753,2021,3,0,0,Germany
0962-8436,2019,19,4,0,Germany
1364-503X,2019,23,4,0,Germany
1754-9426,2019,1,0,0,Germany
2405-688X,2021,2,0,0,Germany
0044-863X,2017,4,0,0,Germany
0146-2806,2018,1,0,0,Germany
0738-3991,2018,7,0,0,Germany
0902-7351,2018,1,0,0,Germany
1061-1711,2018,2,0,0,Germany
1384-2935,2018,4,0,0,Germany
1570-677X,2018,7,0,0,Germany
1740-4681,2021,1,0,0,Germany
1752-928X,2017,2,0,0,Germany
1932-8184,2018,5,0,0,Germany
2055-1940,2018,1,0,0,Germany
2156-342X,2017,5,0,0,Germany
0022-0000,2017,5,0,0,Germany
0090-4392,2017,1,0,0,Germany
0143-2095,2018,3,0,0,Germany
0167-7152,2020,13,0,0,Germany
0965-1748,2018,2,0,0,Germany
1058-6458,2020,1,0,0,Germany
1322-9400,2020,5,0,0,Germany
1384-5748,2018,2,0,0,Germany
1699-048X,2017,1,0,0,Germany
2211-8330,2021,1,0,0,Germany
2363-5142,2017,5,0,0,Germany
0022-1236,2021,18,0,0,Germany
0022-3891,2019,5,0,0,Germany
0037-0746,2017,7,0,0,Germany
0266-2671,2019,1,0,0,Germany
0957-8811,2019,4,0,0,Germany
1073-2322,2017,7,0,0,Germany
1524-8372,2019,6,0,0,Germany
1610-3181,2019,14,0,0,Germany
2158-656X,2020,1,0,0,Germany
0025-3154,2019,1,0,0,Germany
0038-0199,2017,1,0,0,Germany
0167-7659,2018,4,0,0,Germany
0306-4549,2019,10,0,0,Germany
0739-8859,2017,1,0,0,Germany
1471-0153,2017,3,0,0,Germany
1472-4782,2018,1,0,0,Germany
1552-3098,2017,5,1,0,Germany
2471-4607,2018,1,0,0,Germany
0016-9013,2017,6,0,0,Germany
1195-6860,2021,1,0,0,Germany
1521-3269,2017,3,0,0,Germany
2210-9706,2018,1,0,0,Germany
0010-4175,2017,1,0,0,Germany
0025-5408,2018,2,0,0,Germany
0039-3169,2019,2,0,0,Germany
0306-9885,2020,1,0,0,Germany
1076-0512,2021,5,0,0,Germany
1337-7892,2019,2,0,0,Germany
1403-4948,2017,1,0,0,Germany
1551-9295,2021,1,0,0,Germany
1573-4064,2018,2,0,0,Germany
1749-9755,2017,1,0,0,Germany
2156-8944,2017,4,0,0,Germany
0020-8523,2020,1,0,0,Germany
0378-7788,2018,15,0,0,Germany
1089-7860,2019,9,0,0,Germany
1439-0574,2017,7,0,0,Germany
1566-0702,2017,2,0,0,Germany
1862-9148,2021,7,0,0,Germany
2192-9319,2017,19,0,0,Germany
2211-3568,2019,3,0,0,Germany
2509-4890,2018,7,0,0,Germany
0018-2370,2020,1,0,0,Germany
0027-1322,2018,1,0,0,Germany
0272-8842,2020,23,0,0,Germany
0885-3282,2019,4,0,0,Germany
0957-4824,2018,5,0,0,Germany
0963-8288,2018,8,0,0,Germany
1354-3784,2018,6,0,0,Germany
1751-2786,2017,2,0,0,Germany
0014-0309,2019,3,0,0,Germany
0898-9575,2021,1,0,0,Germany
0932-4194,2018,3,0,0,Germany
0952-4746,2018,4,0,0,Germany
1035-7823,2020,1,0,0,Germany
1352-0504,2017,7,0,0,Germany
1548-0992,2018,1,0,0,Germany
1868-4297,2017,2,0,0,Germany
2194-6418,2018,1,0,0,Germany
0032-1052,2018,5,0,0,Germany
0925-1022,2017,10,0,0,Germany
0925-9856,2017,4,0,0,Germany
0942-5403,2019,24,0,0,Germany
1046-4883,2021,2,0,0,Germany
1054-139X,2019,2,0,0,Germany
1122-1151,2019,2,0,0,Germany
1385-9587,2018,2,0,0,Germany
1386-4416,2017,2,0,0,Germany
1440-7833,2018,1,0,0,Germany
1479-0718,2018,2,0,0,Germany
1869-408X,2019,1,0,0,Germany
2199-384X,2017,6,0,0,Germany
0003-9993,2017,8,0,0,Germany
0045-5067,2021,4,1,0,Germany
0739-8859,2021,2,0,0,Germany
0889-8588,2019,1,0,0,Germany
1351-0487,2018,6,0,0,Germany
1547-3287,2019,3,0,0,Germany
1574-0137,2018,1,0,0,Germany
1744-9855,2019,1,0,0,Germany
1931-2458,2017,3,0,0,Germany
1939-5078,2019,1,0,0,Germany
2325-5889,2021,1,0,0,Germany
0031-806X,2020,2,0,0,Germany
0898-7564,2017,1,0,0,Germany
0955-1662,2019,1,0,0,Germany
0964-5292,2017,3,0,0,Germany
1042-9247,2019,1,0,0,Germany
1365-182X,2021,8,0,0,Germany
1931-5872,2019,1,0,0,Germany
1948-5565,2020,1,0,0,Germany
0007-1668,2019,2,0,0,Germany
0007-6791,2018,6,0,0,Germany
0018-2648,2019,2,0,0,Germany
0030-9338,2017,6,0,0,Germany
0360-3989,2018,1,0,0,Germany
0747-9301,2021,1,0,0,Germany
0938-0221,2019,22,0,0,Germany
0959-9851,2017,2,0,0,Germany
1060-1872,2018,4,0,0,Germany
2194-9379,2017,7,0,0,Germany
0049-8637,2017,12,0,0,Germany
0261-1929,2017,5,0,0,Germany
0952-3480,2018,15,0,0,Germany
0973-0508,2017,1,0,0,Germany
1035-7823,2018,2,0,0,Germany
1043-1802,2020,11,3,0,Germany
1569-2159,2019,3,0,0,Germany
2327-7408,2017,1,0,0,Germany
2365-1792,2019,2,0,0,Germany
0301-9233,2021,1,0,0,Germany
0306-686X,2018,1,0,0,Germany
0307-6938,2019,1,0,0,Germany
0742-0528,2019,5,0,0,Germany
0956-7135,2017,17,0,0,Germany
1081-1206,2019,2,0,0,Germany
1537-1891,2019,6,0,0,Germany
1567-2026,2021,1,0,0,Germany
1568-1475,2018,2,0,0,Germany
1874-4672,2017,1,0,0,Germany
0039-9140,2018,16,0,0,Germany
0250-8095,2018,1,0,0,Germany
0378-7796,2017,3,0,0,Germany
0723-2977,2020,63,0,0,Germany
0885-7490,2017,1,0,0,Germany
0940-8789,2017,87,0,0,Germany
0948-2393,2020,35,0,0,Germany
1043-1810,2019,1,0,0,Germany
1384-6175,2018,1,0,0,Germany
1464-7893,2020,1,0,0,Germany
1549-1684,2019,1,0,0,Germany
1617-4933,2019,63,0,0,Germany
1747-0919,2020,3,0,0,Germany
2153-2974,2021,1,0,0,Germany
2405-674X,2017,1,0,0,Germany
0097-3165,2021,12,0,0,Germany
0163-8343,2020,1,0,0,Germany
0724-9616,2018,46,0,0,Germany
0888-3254,2017,4,0,0,Germany
0928-6586,2021,2,0,0,Germany
0975-0770,2017,1,0,0,Germany
1016-2291,2019,1,0,0,Germany
1074-5351,2019,1,0,0,Germany
1389-1286,2019,2,0,0,Germany
1470-0328,2017,2,0,0,Germany
1877-3435,2018,4,0,0,Germany
1938-5862,2019,21,0,0,Germany
2377-3766,2018,47,1,0,Germany
2522-5758,2018,1,0,0,Germany
0018-6368,2018,1,0,0,Germany
0081-9077,2017,3,0,0,Germany
0145-8876,2017,1,0,0,Germany
0163-5581,2018,2,0,0,Germany
0261-3050,2018,5,0,0,Germany
0301-4681,2020,1,0,0,Germany
0921-7126,2019,3,0,0,Germany
1040-7294,2019,4,0,0,Germany
1063-8210,2018,9,0,0,Germany
1158-1360,2021,1,0,0,Germany
1367-0050,2019,1,0,0,Germany
1388-3127,2017,1,0,0,Germany
1478-9515,2017,2,0,0,Germany
1528-3577,2021,2,0,0,Germany
1874-8945,2020,1,0,0,Germany
2167-8421,2018,2,0,0,Germany
2213-4794,2017,1,0,0,Germany
2398-4910,2019,1,0,0,Germany
0016-1128,2021,2,0,0,Germany
0045-5067,2019,1,0,0,Germany
0079-6700,2021,1,0,0,Germany
0305-7070,2017,4,0,0,Germany
0916-7005,2019,1,0,0,Germany
1043-8599,2021,2,0,0,Germany
1614-0702,2020,101,0,0,Germany
1724-8574,2019,2,0,0,Germany
1877-7503,2017,2,0,0,Germany
1878-0938,2017,5,0,0,Germany
1949-3053,2019,7,0,0,Germany
2047-2919,2018,3,0,0,Germany
0001-7701,2017,7,0,0,Germany
0002-7189,2020,3,0,0,Germany
0020-7659,2019,3,0,0,Germany
0032-5481,2017,1,0,0,Germany
0033-2941,2019,2,0,0,Germany
0048-3575,2021,1,0,0,Germany
0177-1000,2017,28,0,0,Germany
0195-9255,2017,6,0,0,Germany
0300-483X,2018,2,0,0,Germany
0960-8923,2017,21,0,0,Germany
1029-8436,2018,1,0,0,Germany
1082-3301,2017,1,0,0,Germany
1352-7592,2018,1,0,0,Germany
1473-3315,2019,1,0,0,Germany
1743-2979,2021,2,0,0,Germany
2041-5990,2018,2,0,0,Germany
0031-9252,2017,39,0,0,Germany
0094-1298,2020,1,0,0,Germany
0140-2390,2020,2,0,0,Germany
0165-1781,2020,33,0,0,Germany
0251-5350,2021,2,0,0,Germany
0267-8292,2018,9,1,0,Germany
0885-8985,2018,2,0,0,Germany
0960-0779,2019,3,0,0,Germany
1065-2469,2021,3,0,0,Germany
1096-0929,2017,4,2,0,Germany
1434-5293,2017,12,0,0,Germany
1618-3169,2018,7,0,0,Germany
2047-6302,2017,2,0,0,Germany
2047-6965,2019,1,0,0,Germany
2468-2020,2020,2,0,0,Germany
0167-6377,2020,9,0,0,Germany
0167-8760,2018,13,0,0,Germany
0169-2968,2019,5,0,0,Germany
0309-166X,2018,2,0,0,Germany
0364-5916,2019,18,0,0,Germany
0957-5820,2017,16,0,0,Germany
1029-8436,2017,3,0,0,Germany
1323-1650,2018,2,0,0,Germany
1357-2334,2018,1,0,0,Germany
1424-3199,2018,13,0,0,Germany
1477-5131,2019,6,0,0,Germany
1570-5838,2017,1,0,0,Germany
2405-4569,2018,15,0,0,Germany
2512-8450,2020,10,0,0,Germany
0007-5027,2018,1,0,0,Germany
0013-8266,2021,7,0,0,Germany
0196-8904,2020,19,0,0,Germany
0963-9462,2018,2,0,0,Germany
1063-5203,2019,4,0,0,Germany
1613-9860,2020,2,0,0,Germany
1748-3387,2018,13,0,0,Germany
1932-8451,2019,2,0,0,Germany
2157-3891,2018,1,0,0,Germany
2352-5541,2019,4,0,0,Germany
2589-5737,2019,1,0,0,Germany
0095-327X,2018,2,0,0,Germany
0736-5845,2019,2,0,0,Germany
0920-1742,2018,1,0,0,Germany
0929-1393,2019,5,0,0,Germany
0939-7140,2017,3,0,0,Germany
0955-0674,2018,7,0,0,Germany
1401-5439,2017,1,0,0,Germany
1548-9221,2021,4,0,0,Germany
1570-159X,2019,1,0,0,Germany
1570-9639,2019,11,0,0,Germany
1664-2368,2018,2,0,0,Germany
1941-9430,2020,1,0,0,Germany
2190-6815,2018,9,0,0,Germany
0031-8868,2017,2,0,0,Germany
0047-2689,2021,2,0,0,Germany
0818-9641,2017,3,0,0,Germany
0894-9867,2017,3,0,0,Germany
0948-6143,2017,10,0,0,Germany
0964-8305,2017,4,0,0,Germany
1047-3203,2018,1,0,0,Germany
1471-3802,2018,2,0,0,Germany
1573-4072,2021,1,0,0,Germany
0009-2665,2017,15,1,0,Germany
0010-3624,2018,2,0,0,Germany
0015-8208,2017,6,0,0,Germany
0146-8693,2021,1,0,0,Germany
0191-6122,2019,3,0,0,Germany
0304-4203,2020,2,0,0,Germany
0425-1644,2017,9,0,0,Germany
0956-5221,2018,3,0,0,Germany
0957-7734,2018,5,0,0,Germany
0968-6673,2017,1,0,0,Germany
1461-6734,2020,1,0,0,Germany
2193-4126,2018,1,0,0,Germany
0001-6349,2017,4,0,0,Germany
0009-8558,2020,1,0,0,Germany
0143-5671,2019,3,0,0,Germany
0885-2006,2018,2,0,0,Germany
0946-672X,2017,9,0,0,Germany
1022-1360,2017,16,0,0,Germany
1043-0342,2019,9,1,0,Germany
1049-9091,2020,2,0,0,Germany
1096-620X,2019,1,1,0,Germany
1366-8803,2019,1,0,0,Germany
1463-9947,2018,2,0,0,Germany
1474-7758,2017,1,1,0,Germany
1748-6025,2018,1,0,0,Germany
1862-9148,2017,1,0,0,Germany
1941-9651,2017,10,0,0,Germany
2058-1742,2017,1,0,0,Germany
2193-634X,2018,2,0,0,Germany
1075-7007,2019,1,0,0,Germany
1092-7697,2018,1,0,0,Germany
1120-009X,2020,1,0,0,Germany
2053-4620,2019,1,0,0,Germany
2153-7658,2020,3,0,0,Germany
2212-0122,2018,1,0,0,Germany
2451-9294,2019,5,0,0,Germany
0145-2134,2020,13,0,0,Germany
0263-6352,2021,10,1,0,Germany
0973-7030,2018,1,0,0,Germany
1066-5277,2019,3,0,0,Germany
1067-2516,2018,5,0,0,Germany
1362-0436,2018,1,0,0,Germany
1367-4676,2018,2,0,0,Germany
1462-169X,2020,1,0,0,Germany
1530-5627,2021,4,0,0,Germany
2042-6445,2020,2,0,0,Germany
0079-6425,2020,1,0,0,Germany
0177-7971,2018,2,0,0,Germany
0367-2530,2021,7,0,0,Germany
0373-4633,2019,1,0,0,Germany
0927-7099,2018,5,0,0,Germany
0959-3330,2019,4,0,0,Germany
0966-2839,2018,1,0,0,Germany
1029-2470,2020,1,0,0,Germany
1052-5157,2017,2,0,0,Germany
1081-4159,2020,1,0,0,Germany
2211-3398,2017,1,0,0,Germany
2321-0222,2021,1,0,0,Germany
0269-1205,2021,1,0,0,Germany
0300-9009,2017,1,0,0,Germany
0304-3932,2017,1,0,0,Germany
0955-7997,2020,4,0,0,Germany
1018-1172,2018,1,0,0,Germany
1067-2516,2020,4,0,0,Germany
1758-2024,2020,3,0,0,Germany
2524-5295,2018,1,0,0,Germany
2573-0142,2018,4,0,0,Germany
0014-2999,2018,10,0,0,Germany
0021-8774,2018,1,0,0,Germany
0343-8651,2017,2,0,0,Germany
1070-9878,2020,11,0,0,Germany
1079-5642,2017,16,0,0,Germany
1087-1845,2018,7,0,0,Germany
1466-0970,2021,2,0,0,Germany
1573-3947,2017,1,0,0,Germany
0036-6803,2021,1,0,0,Germany
0895-769X,2020,1,0,0,Germany
1044-3983,2017,3,0,0,Germany
1067-1927,2018,5,0,0,Germany
1473-7167,2020,4,0,0,Germany
1529-4145,2017,1,0,0,Germany
1744-7143,2020,2,0,0,Germany
2222-582X,2019,1,0,0,Germany
2367-2587,2018,7,0,0,Germany
0001-8732,2021,1,0,0,Germany
0143-4179,2018,1,0,0,Germany
0190-2725,2018,1,0,0,Germany
1075-2617,2018,7,0,0,Germany
1354-3776,2018,2,0,0,Germany
1479-0718,2019,6,0,0,Germany
1573-4099,2018,1,0,0,Germany
1660-8151,2018,2,0,0,Germany
1715-1635,2020,1,0,0,Germany
1935-3812,2018,2,0,0,Germany
1943-6149,2019,1,0,0,Germany
2196-6656,2021,6,0,0,Germany
2374-5118,2021,1,0,0,Germany
0003-6870,2018,6,0,0,Germany
0030-400X,2020,1,0,0,Germany
0075-4102,2017,5,0,0,Germany
0305-1838,2018,2,0,0,Germany
0305-7267,2019,1,0,0,Germany
0360-5302,2018,3,0,0,Germany
0933-7741,2019,5,0,0,Germany
0953-5438,2017,1,0,0,Germany
0953-7325,2018,1,0,0,Germany
1052-6188,2017,1,0,0,Germany
1932-1058,2017,4,0,0,Germany
1939-2206,2021,1,0,0,Germany
2169-9763,2017,1,0,0,Germany
2524-8774,2020,31,0,0,Germany
0267-1379,2019,3,0,0,Germany
0306-3070,2019,1,0,0,Germany
0962-8436,2021,37,17,0,Germany
1049-0078,2021,2,0,0,Germany
1743-0437,2021,4,0,0,Germany
1949-3045,2018,1,0,0,Germany
2210-271X,2017,5,0,0,Germany
2329-4124,2018,2,1,0,Germany
2574-8300,2018,4,0,0,Germany
0033-3174,2021,9,1,0,Germany
0305-215X,2021,2,0,0,Germany
1059-1311,2017,29,0,0,Germany
1526-2375,2017,8,0,0,Germany
1536-8386,2018,2,0,0,Germany
1751-8040,2019,1,0,0,Germany
1948-5875,2019,23,1,0,Germany
2199-322X,2019,1,0,0,Germany
0079-6816,2018,2,0,0,Germany
0168-9452,2017,3,0,0,Germany
0267-0844,2019,2,0,0,Germany
0306-4565,2020,7,0,0,Germany
0378-620X,2017,9,0,0,Germany
0922-2936,2017,2,0,0,Germany
0934-9723,2017,6,0,0,Germany
0956-053X,2017,17,0,0,Germany
1356-2576,2020,1,0,0,Germany
1756-669X,2020,1,0,0,Germany
1948-0881,2018,1,0,0,Germany
0009-3122,2017,8,0,0,Germany
0010-2202,2018,10,0,0,Germany
0010-2202,2021,7,0,0,Germany
0034-6667,2018,3,0,0,Germany
0076-6097,2017,1,0,0,Germany
0141-0296,2017,10,0,0,Germany
0770-8548,2018,5,0,0,Germany
0885-3924,2018,6,0,0,Germany
0889-2229,2018,2,0,0,Germany
0950-7051,2018,2,0,0,Germany
1351-3249,2018,4,0,0,Germany
1554-7191,2018,2,0,0,Germany
1567-5688,2018,1,0,0,Germany
2192-4848,2021,48,0,0,Germany
2195-0156,2019,6,0,0,Germany
0883-0185,2021,2,0,0,Germany
1079-5642,2019,6,0,0,Germany
1556-8253,2019,1,0,0,Germany
1565-1509,2018,1,0,0,Germany
1863-9984,2019,9,0,0,Germany
2194-072X,2017,10,0,0,Germany
2399-1984,2017,3,0,0,Germany
0006-355X,2018,1,0,0,Germany
0175-6206,2021,10,0,0,Germany
0188-7009,2017,3,0,0,Germany
0254-4962,2019,11,0,0,Germany
0267-7261,2018,8,0,0,Germany
1945-2829,2017,5,0,0,Germany
2212-4292,2018,1,0,0,Germany
0038-0385,2019,1,1,0,Germany
0309-3646,2021,1,0,0,Germany
0361-0926,2018,5,0,0,Germany
0948-7034,2018,79,0,0,Germany
0955-9930,2018,5,0,0,Germany
1010-0652,2018,15,0,0,Germany
1052-7613,2017,2,0,0,Germany
1166-7087,2019,1,0,0,Germany
1387-6732,2018,1,0,0,Germany
1479-0963,2020,2,0,0,Germany
