esac_publisher,country_code,cr_year,oa_n,n,has_ta
Elsevier,AE,2021,39,728,FALSE
Elsevier,AE,2017,6,410,FALSE
Elsevier,AE,2018,10,460,FALSE
Elsevier,AE,2019,13,508,FALSE
IOS Press,AE,2017,0,2,FALSE
IOS Press,AE,2021,0,5,FALSE
IOS Press,AE,2019,0,5,FALSE
IOS Press,AE,2018,0,5,FALSE
IOS Press,AE,2020,0,6,FALSE
IOS Press,AE,2022,0,4,FALSE
EDP Sciences,AE,2021,3,5,FALSE
EDP Sciences,AE,2020,1,8,FALSE
EDP Sciences,AE,2017,0,4,FALSE
EDP Sciences,AE,2019,0,5,FALSE
EDP Sciences,AE,2018,1,5,FALSE
EDP Sciences,AE,2022,0,4,FALSE
AIP Publishing,AE,2021,0,7,FALSE
AIP Publishing,AE,2019,0,7,FALSE
AIP Publishing,AE,2018,0,11,FALSE
AIP Publishing,AE,2022,0,4,FALSE
AIP Publishing,AE,2020,0,12,FALSE
AIP Publishing,AE,2017,0,5,FALSE
BMJ Publishing,AE,2020,1,7,FALSE
BMJ Publishing,AE,2021,4,15,FALSE
BMJ Publishing,AE,2019,1,13,FALSE
BMJ Publishing,AE,2017,0,10,FALSE
BMJ Publishing,AE,2018,0,14,FALSE
BMJ Publishing,AE,2022,0,5,FALSE
IOP Publishing,AE,2021,1,14,FALSE
IOP Publishing,AE,2018,0,6,FALSE
IOP Publishing,AE,2017,0,10,FALSE
IOP Publishing,AE,2022,0,8,FALSE
IOP Publishing,AE,2019,1,14,FALSE
IOP Publishing,AE,2020,0,14,FALSE
IWA Publishing,AE,2018,0,1,FALSE
Portland Press,AE,2020,1,1,FALSE
Portland Press,AE,2022,1,1,FALSE
Springer Nature,AE,2020,14,283,FALSE
Springer Nature,AE,2019,12,212,FALSE
Springer Nature,AE,2022,29,405,FALSE
Springer Nature,AE,2018,7,212,FALSE
Springer Nature,AE,2021,33,332,FALSE
Springer Nature,AE,2017,4,185,FALSE
Taylor & Francis,AE,2021,11,225,FALSE
Taylor & Francis,AE,2017,2,147,FALSE
Taylor & Francis,AE,2020,6,198,FALSE
Taylor & Francis,AE,2018,1,157,FALSE
Taylor & Francis,AE,2022,14,137,FALSE
Taylor & Francis,AE,2019,4,169,FALSE
The Royal Society,AE,2020,1,15,FALSE
The Royal Society,AE,2022,1,3,FALSE
The Royal Society,AE,2021,3,15,FALSE
The Royal Society,AE,2017,0,13,FALSE
The Royal Society,AE,2018,0,11,FALSE
The Royal Society,AE,2019,0,11,FALSE
Walter de Gruyter,AE,2020,0,11,FALSE
Walter de Gruyter,AE,2022,0,5,FALSE
Walter de Gruyter,AE,2018,0,3,FALSE
Walter de Gruyter,AE,2021,1,11,FALSE
Walter de Gruyter,AE,2017,0,5,FALSE
Walter de Gruyter,AE,2019,1,5,FALSE
Future Science Group,AE,2022,0,2,FALSE
Future Science Group,AE,2019,0,1,FALSE
Future Science Group,AE,2021,0,2,FALSE
Future Science Group,AE,2017,0,3,FALSE
Future Science Group,AE,2020,0,4,FALSE
Company of Biologists,AE,2017,0,1,FALSE
Wolters Kluwer Health,AE,2017,0,5,FALSE
Wolters Kluwer Health,AE,2018,0,5,FALSE
Wolters Kluwer Health,AE,2021,0,5,FALSE
Wolters Kluwer Health,AE,2019,0,9,FALSE
Wolters Kluwer Health,AE,2020,0,12,FALSE
Wolters Kluwer Health,AE,2022,0,1,FALSE
"Mary Ann Liebert, Inc.",AE,2017,0,5,FALSE
"Mary Ann Liebert, Inc.",AE,2022,0,6,FALSE
"Mary Ann Liebert, Inc.",AE,2019,0,1,FALSE
"Mary Ann Liebert, Inc.",AE,2021,0,6,FALSE
"Mary Ann Liebert, Inc.",AE,2018,0,2,FALSE
"Mary Ann Liebert, Inc.",AE,2020,0,9,FALSE
Oxford University Press,AE,2022,1,17,FALSE
Oxford University Press,AE,2017,0,28,FALSE
Oxford University Press,AE,2019,0,37,FALSE
Oxford University Press,AE,2018,0,37,FALSE
Oxford University Press,AE,2021,3,38,FALSE
