cr_year,issn_l,article_total,tdm_total,orcid_total,funder_total,abstract_total,ref_total,cat
2017,0002-9440,13,13,2,4,0,13,Global
2017,0002-9440,2,2,0,1,0,2,Germany
2018,0002-9440,19,19,11,12,0,19,Global
2018,0002-9440,1,1,0,0,0,1,Germany
2019,0002-9440,19,19,11,19,0,19,Global
2019,0002-9440,4,4,2,4,0,4,Germany
2020,0002-9440,20,20,16,20,0,20,Global
2020,0002-9440,3,3,2,3,0,3,Germany
2021,0002-9440,26,26,24,24,0,26,Global
2022,0002-9440,21,21,20,6,0,21,Global
2022,0002-9440,2,2,2,0,0,2,Germany
2017,0002-9483,7,7,7,6,0,7,Global
2018,0002-9483,9,9,9,9,0,9,Global
2019,0002-9483,16,16,16,15,0,16,Global
2019,0002-9483,4,4,4,4,0,4,Germany
2020,0002-9483,28,28,28,21,0,28,Global
2020,0002-9483,7,7,7,4,0,7,Germany
2021,0002-9483,21,21,21,13,0,21,Global
2021,0002-9483,1,1,1,1,0,1,Germany
2017,0002-9610,2,2,1,0,0,2,Global
2018,0002-9610,5,5,4,1,0,5,Global
2019,0002-9610,3,3,3,2,0,3,Global
2020,0002-9610,7,7,1,4,0,7,Global
2021,0002-9610,9,9,7,4,0,9,Global
2022,0002-9610,12,12,9,2,0,12,Global
2017,0002-9629,4,4,0,0,0,4,Global
2018,0002-9629,6,6,0,3,0,6,Global
2019,0002-9629,5,5,0,4,0,5,Global
2020,0002-9629,3,3,0,3,0,3,Global
2021,0002-9629,7,7,1,2,0,7,Global
2022,0002-9629,10,10,0,3,0,10,Global
2018,0002-9890,1,1,0,1,0,1,Global
2019,0002-9890,2,1,0,0,0,2,Global
2020,0002-9890,3,0,0,0,0,3,Global
2021,0002-9890,7,0,3,4,0,7,Global
2022,0002-9890,7,0,5,1,0,7,Global
2018,0003-004X,9,0,0,0,0,9,Global
2019,0003-004X,4,0,0,0,1,4,Global
2020,0003-004X,3,0,0,0,3,3,Global
2020,0003-004X,1,0,0,0,1,1,Germany
2021,0003-004X,7,0,4,0,7,7,Global
2021,0003-004X,3,0,2,0,3,3,Germany
2022,0003-004X,3,0,1,0,3,3,Global
2017,0003-021X,5,5,1,1,0,5,Global
2018,0003-021X,1,1,1,1,0,1,Global
2019,0003-021X,2,2,2,0,0,2,Global
2019,0003-021X,1,1,1,0,0,1,Germany
2020,0003-021X,4,4,4,2,0,4,Global
2020,0003-021X,2,2,2,0,0,2,Germany
2021,0003-021X,7,7,7,1,0,7,Global
2021,0003-021X,4,4,4,0,0,4,Germany
2022,0003-021X,10,10,10,7,0,10,Global
2022,0003-021X,1,1,1,0,0,1,Germany
2017,0003-0554,2,0,0,0,2,2,Global
2018,0003-0554,5,0,2,0,5,5,Global
2019,0003-0554,10,0,10,0,10,10,Global
2019,0003-0554,1,0,1,0,1,1,Germany
2020,0003-0554,16,0,16,0,16,16,Global
2020,0003-0554,2,0,2,0,2,2,Germany
2021,0003-0554,70,0,69,5,69,70,Global
2021,0003-0554,1,0,1,0,1,1,Germany
2022,0003-0554,49,0,49,2,49,49,Global
2022,0003-0554,2,0,2,0,2,2,Germany
2020,0003-0651,1,1,0,0,0,1,Global
2019,0003-1224,1,1,1,1,1,1,Global
2019,0003-1224,1,1,1,1,1,1,Germany
2020,0003-1224,6,6,6,2,6,6,Global
2020,0003-1224,1,1,1,1,1,1,Germany
2021,0003-1224,8,8,8,6,8,8,Global
2021,0003-1224,1,1,1,1,1,1,Germany
2022,0003-1224,4,4,4,1,4,4,Global
2017,0003-1232,3,3,0,2,0,2,Global
2018,0003-1232,2,2,0,2,0,2,Global
2020,0003-1232,7,7,5,5,6,7,Global
2020,0003-1232,1,1,0,1,0,1,Germany
2021,0003-1232,10,10,6,5,9,8,Global
2021,0003-1232,1,1,1,1,1,1,Germany
2022,0003-1232,7,7,5,5,7,7,Global
2022,0003-1232,1,1,0,1,1,1,Germany
2018,0003-1305,2,1,1,0,0,2,Global
2019,0003-1305,46,45,7,14,0,46,Global
